mean_fit_time,mean_score_time,param_classifier__max_bin,param_classifier__max_depth,param_classifier__n_estimators,param_classifier__num_leaves,mean_test_accuracy,rank_test_accuracy,mean_train_accuracy,mean_test_matthews_corrcoef,rank_test_matthews_corrcoef,mean_train_matthews_corrcoef,mean_test_roc_auc,rank_test_roc_auc,mean_train_roc_auc
269.725,0.203,16,9,1716,83,0.944,41,1.0,0.888,42,1.0,0.985,41,1.0
301.425,0.207,31,7,1883,25,0.954,9,1.0,0.908,13,1.0,0.99,7,1.0
273.777,0.146,23,9,1099,86,0.94,49,1.0,0.88,50,1.0,0.985,40,1.0
203.297,0.153,28,4,1920,74,0.948,28,1.0,0.896,29,1.0,0.989,12,1.0
139.272,0.116,5,4,1349,181,0.942,45,1.0,0.884,45,1.0,0.983,50,1.0
105.448,0.059,29,9,572,25,0.942,45,1.0,0.884,47,1.0,0.984,49,1.0
304.667,0.176,24,7,1476,213,0.958,3,1.0,0.916,3,1.0,0.986,35,1.0
146.587,0.117,19,4,1350,115,0.952,15,1.0,0.904,20,1.0,0.985,43,1.0
178.977,0.13,28,5,1255,45,0.956,4,1.0,0.912,4,1.0,0.987,25,1.0
294.32,0.182,23,7,1410,183,0.952,15,1.0,0.904,16,1.0,0.99,3,1.0
329.264,0.178,4,5,1789,201,0.944,41,1.0,0.888,43,1.0,0.986,39,1.0
204.759,0.164,4,6,744,167,0.956,4,1.0,0.912,7,1.0,0.985,45,1.0
189.82,0.165,7,7,1382,199,0.96,1,1.0,0.92,2,1.0,0.991,1,1.0
61.422,0.052,6,4,628,180,0.942,45,1.0,0.884,45,1.0,0.985,42,1.0
243.419,0.154,25,9,1256,33,0.946,34,1.0,0.892,38,1.0,0.988,24,1.0
355.581,0.183,19,8,1566,202,0.948,28,1.0,0.896,28,1.0,0.987,33,1.0
251.688,0.175,28,5,1845,247,0.952,15,1.0,0.904,18,1.0,0.988,20,1.0
94.698,0.078,13,5,791,118,0.94,49,1.0,0.88,49,1.0,0.988,21,1.0
214.693,0.13,27,7,930,98,0.95,21,1.0,0.9,22,1.0,0.988,13,1.0
98.135,0.073,31,4,898,115,0.95,21,1.0,0.9,25,1.0,0.986,38,1.0
280.548,0.151,25,8,1133,186,0.946,34,1.0,0.892,38,1.0,0.987,29,1.0
133.808,0.087,24,7,824,22,0.948,28,1.0,0.896,29,1.0,0.987,34,1.0
263.159,0.207,8,8,1655,220,0.948,28,1.0,0.896,32,1.0,0.986,37,1.0
233.82,0.189,8,8,1667,164,0.948,28,1.0,0.896,33,1.0,0.984,47,1.0
186.104,0.147,7,6,1291,223,0.95,21,1.0,0.9,24,1.0,0.988,22,1.0
253.181,0.133,17,9,1060,65,0.946,34,1.0,0.892,35,1.0,0.985,44,1.0
236.289,0.18,9,5,1972,111,0.96,1,1.0,0.92,1,1.0,0.989,10,1.0
182.75,0.161,9,4,1816,178,0.946,34,1.0,0.892,35,1.0,0.987,28,1.0
243.059,0.117,20,9,887,114,0.956,4,1.0,0.912,7,1.0,0.989,9,1.0
152.374,0.135,14,9,868,247,0.95,21,1.0,0.901,21,1.0,0.988,16,1.0
113.43,0.083,25,5,883,16,0.946,34,1.0,0.892,38,1.0,0.985,46,1.0
150.665,0.128,14,6,1055,202,0.956,4,1.0,0.912,4,1.0,0.989,8,1.0
106.484,0.078,27,7,630,137,0.954,9,1.0,0.908,10,1.0,0.988,14,1.0
191.039,0.142,6,7,1234,139,0.946,34,1.0,0.892,37,1.0,0.988,19,1.0
162.426,0.129,7,6,1239,164,0.954,9,1.0,0.908,10,1.0,0.988,17,1.0
284.923,0.178,21,6,1935,30,0.954,9,1.0,0.909,9,1.0,0.99,2,1.0
153.871,0.125,13,6,1205,52,0.952,15,1.0,0.904,15,1.0,0.988,14,1.0
180.896,0.139,14,7,1372,27,0.954,9,1.0,0.908,10,1.0,0.987,26,1.0
229.653,0.169,6,7,1604,48,0.944,41,1.0,0.888,43,1.0,0.987,32,1.0
139.272,0.103,26,4,1306,35,0.95,21,1.0,0.9,27,1.0,0.987,31,1.0
284.741,0.171,18,6,1895,200,0.952,15,1.0,0.904,16,1.0,0.989,11,1.0
119.668,0.091,12,9,786,40,0.944,41,1.0,0.888,41,1.0,0.986,36,1.0
94.417,0.077,6,7,594,242,0.942,45,1.0,0.884,48,1.0,0.984,48,1.0
132.479,0.105,15,9,796,88,0.952,15,1.0,0.904,18,1.0,0.99,4,1.0
199.09,0.143,23,4,1934,210,0.948,28,1.0,0.896,29,1.0,0.987,26,1.0
199.527,0.11,28,8,823,252,0.95,21,1.0,0.9,25,1.0,0.99,5,1.0
183.688,0.134,18,4,1784,211,0.946,34,1.0,0.893,34,1.0,0.988,18,1.0
264.057,0.158,17,7,1520,102,0.95,21,1.0,0.9,22,1.0,0.988,23,1.0
153.742,0.124,17,5,1343,200,0.956,4,1.0,0.912,4,1.0,0.987,30,1.0
148.335,0.116,20,4,1425,165,0.954,9,1.0,0.908,13,1.0,0.99,6,1.0
