mean_fit_time,mean_score_time,param_classifier__max_bin,param_classifier__max_depth,param_classifier__n_estimators,param_classifier__num_leaves,mean_test_accuracy,rank_test_accuracy,mean_train_accuracy,mean_test_matthews_corrcoef,rank_test_matthews_corrcoef,mean_train_matthews_corrcoef,mean_test_roc_auc,rank_test_roc_auc,mean_train_roc_auc
281.531,0.17,16,9,1716,83,0.99,6,1.0,0.98,8,1.0,1.0,1,1.0
317.006,0.172,31,7,1883,25,0.992,1,1.0,0.984,1,1.0,0.999,15,1.0
252.036,0.121,23,9,1099,86,0.986,23,1.0,0.972,24,1.0,0.999,11,1.0
266.901,0.155,28,4,1920,74,0.992,1,1.0,0.984,1,1.0,1.0,2,1.0
193.977,0.123,5,4,1349,181,0.99,6,1.0,0.98,8,1.0,0.997,38,1.0
73.235,0.037,29,9,572,25,0.348,49,0.348,-0.407,49,-0.402,0.348,49,0.348
284.974,0.144,24,7,1476,213,0.988,13,1.0,0.976,19,1.0,0.999,20,1.0
197.306,0.116,19,4,1350,115,0.988,13,1.0,0.976,19,1.0,0.999,32,1.0
107.655,0.041,28,5,1255,45,0.464,45,0.474,-0.193,47,-0.137,0.464,45,0.474
274.86,0.148,23,7,1410,183,0.986,23,1.0,0.972,24,1.0,0.999,15,1.0
269.677,0.162,4,5,1789,201,0.992,1,1.0,0.984,1,1.0,0.999,11,1.0
132.917,0.083,4,6,744,167,0.984,32,1.0,0.968,33,1.0,0.999,6,1.0
229.016,0.142,7,7,1382,199,0.986,23,1.0,0.972,24,1.0,0.999,26,1.0
92.038,0.059,6,4,628,180,0.986,23,1.0,0.972,24,1.0,0.999,7,1.0
247.632,0.125,25,9,1256,33,0.988,13,1.0,0.976,13,1.0,0.999,8,1.0
313.677,0.154,19,8,1566,202,0.984,32,1.0,0.968,32,1.0,0.999,29,1.0
141.45,0.041,28,5,1845,247,0.464,45,0.474,-0.184,46,-0.137,0.464,45,0.474
70.034,0.033,13,5,791,118,0.52,43,0.511,0.052,43,0.027,0.52,43,0.511
204.323,0.101,27,7,930,98,0.99,6,1.0,0.98,6,1.0,0.999,23,1.0
136.367,0.084,31,4,898,115,0.99,6,1.0,0.98,6,1.0,0.999,4,1.0
249.449,0.121,25,8,1133,186,0.984,32,1.0,0.968,33,1.0,0.999,11,1.0
86.38,0.039,24,7,824,22,0.602,41,0.583,0.236,41,0.191,0.602,41,0.583
270.17,0.167,8,8,1655,220,0.99,6,1.0,0.98,8,1.0,0.999,27,1.0
270.516,0.166,8,8,1667,164,0.986,23,1.0,0.972,24,1.0,0.999,35,1.0
93.814,0.031,7,6,1291,223,0.622,40,0.603,0.354,40,0.295,0.622,40,0.603
236.302,0.117,17,9,1060,65,0.986,23,1.0,0.972,24,1.0,0.999,36,1.0
280.232,0.152,9,5,1972,111,0.992,1,1.0,0.984,5,1.0,0.999,33,1.0
245.645,0.137,9,4,1816,178,0.992,1,1.0,0.984,1,1.0,0.998,37,1.0
214.823,0.103,20,9,887,114,0.984,32,1.0,0.968,33,1.0,0.999,8,1.0
162.434,0.106,14,9,868,247,0.98,38,1.0,0.96,38,1.0,0.999,28,1.0
149.448,0.088,25,5,883,16,0.988,13,1.0,0.976,13,1.0,0.999,29,1.0
176.319,0.109,14,6,1055,202,0.988,13,1.0,0.976,13,1.0,0.999,15,1.0
152.379,0.074,27,7,630,137,0.986,23,1.0,0.972,24,1.0,0.999,33,1.0
198.706,0.116,6,7,1234,139,0.986,23,1.0,0.972,24,1.0,0.999,5,1.0
90.649,0.031,7,6,1239,164,0.63,39,0.633,0.382,39,0.382,0.63,39,0.633
291.17,0.144,21,6,1935,30,0.988,13,1.0,0.976,19,1.0,0.999,23,1.0
184.808,0.104,13,6,1205,52,0.988,13,1.0,0.976,13,1.0,0.999,20,1.0
208.503,0.118,14,7,1372,27,0.982,37,1.0,0.964,37,1.0,0.999,15,1.0
233.377,0.132,6,7,1604,48,0.988,13,1.0,0.976,19,1.0,1.0,3,1.0
117.459,0.043,26,4,1306,35,0.5,44,0.504,0.0,44,0.053,0.5,44,0.504
282.502,0.132,18,6,1895,200,0.99,6,1.0,0.98,8,1.0,0.999,11,1.0
69.614,0.032,12,9,786,40,0.372,48,0.371,-0.305,48,-0.309,0.372,48,0.371
103.401,0.064,6,7,594,242,0.988,13,1.0,0.976,13,1.0,0.999,15,1.0
136.897,0.082,15,9,796,88,0.984,32,1.0,0.968,36,1.0,0.999,25,1.0
242.03,0.137,23,4,1934,210,0.988,13,1.0,0.976,13,1.0,0.999,22,1.0
175.032,0.084,28,8,823,252,0.986,23,1.0,0.972,23,1.0,0.999,8,1.0
121.837,0.038,18,4,1784,211,0.524,42,0.519,0.145,42,0.125,0.524,42,0.519
253.565,0.128,17,7,1520,102,0.99,6,1.0,0.98,8,1.0,0.999,29,1.0
91.668,0.03,17,5,1343,200,0.464,45,0.459,-0.073,45,-0.083,0.464,45,0.459
100.705,0.036,20,4,1425,165,0.26,50,0.286,-0.526,50,-0.477,0.26,50,0.286
