mean_fit_time,mean_score_time,param_classifier__max_bin,param_classifier__max_depth,param_classifier__n_estimators,param_classifier__num_leaves,mean_test_accuracy,rank_test_accuracy,mean_train_accuracy,mean_test_matthews_corrcoef,rank_test_matthews_corrcoef,mean_train_matthews_corrcoef,mean_test_roc_auc,rank_test_roc_auc,mean_train_roc_auc
58.513,0.226,16,9,1716,83,0.776,6,1.0,0.552,6,1.0,0.836,30,1.0
47.387,0.188,31,7,1883,25,0.77,14,1.0,0.541,14,1.0,0.844,16,1.0
40.94,0.154,23,9,1099,86,0.784,1,1.0,0.569,2,1.0,0.847,10,1.0
34.466,0.146,28,4,1920,74,0.752,37,1.0,0.504,39,1.0,0.833,32,1.0
23.763,0.099,5,4,1349,181,0.746,45,1.0,0.492,45,1.0,0.828,44,1.0
11.691,0.049,29,9,572,25,0.772,10,1.0,0.544,13,1.0,0.84,26,1.0
46.902,0.171,24,7,1476,213,0.76,25,1.0,0.52,29,1.0,0.841,21,1.0
23.43,0.099,19,4,1350,115,0.78,4,1.0,0.56,4,1.0,0.84,27,1.0
27.594,0.11,28,5,1255,45,0.772,10,1.0,0.545,10,1.0,0.847,9,1.0
46.908,0.166,23,7,1410,183,0.742,47,1.0,0.484,48,1.0,0.831,38,1.0
42.548,0.161,4,5,1789,201,0.748,43,1.0,0.496,44,1.0,0.824,46,1.0
18.211,0.082,4,6,744,167,0.758,30,1.0,0.517,30,1.0,0.827,45,1.0
43.889,0.177,7,7,1382,199,0.764,20,1.0,0.528,21,1.0,0.837,28,1.0
8.981,0.04,6,4,628,180,0.736,50,1.0,0.472,50,1.0,0.806,50,1.0
35.106,0.145,25,9,1256,33,0.75,41,1.0,0.5,41,1.0,0.84,25,1.0
56.421,0.193,19,8,1566,202,0.774,7,1.0,0.548,7,1.0,0.849,6,1.0
41.734,0.157,28,5,1845,247,0.758,30,1.0,0.517,31,1.0,0.844,17,1.0
15.499,0.067,13,5,791,118,0.752,37,1.0,0.504,37,1.0,0.833,33,1.0
28.919,0.116,27,7,930,98,0.754,33,1.0,0.508,35,1.0,0.84,23,1.0
14.264,0.06,31,4,898,115,0.774,7,1.0,0.548,8,1.0,0.851,5,1.0
40.856,0.152,25,8,1133,186,0.784,1,1.0,0.568,3,1.0,0.847,8,1.0
16.324,0.073,24,7,824,22,0.766,17,1.0,0.533,17,1.0,0.841,22,1.0
56.913,0.211,8,8,1655,220,0.752,37,1.0,0.504,40,1.0,0.829,39,1.0
55.423,0.221,8,8,1667,164,0.75,41,1.0,0.5,41,1.0,0.829,40,1.0
34.213,0.14,7,6,1291,223,0.754,33,1.0,0.508,34,1.0,0.831,37,1.0
37.442,0.142,17,9,1060,65,0.774,7,1.0,0.548,8,1.0,0.846,11,1.0
43.512,0.166,9,5,1972,111,0.764,20,1.0,0.528,22,1.0,0.831,36,1.0
32.269,0.134,9,4,1816,178,0.754,33,1.0,0.509,33,1.0,0.828,43,1.0
30.825,0.126,20,9,887,114,0.762,23,1.0,0.525,23,1.0,0.848,7,1.0
29.416,0.13,14,9,868,247,0.772,10,1.0,0.544,12,1.0,0.854,2,1.0
15.029,0.067,25,5,883,16,0.76,25,1.0,0.52,28,1.0,0.832,35,1.0
27.046,0.107,14,6,1055,202,0.784,1,1.0,0.569,1,1.0,0.851,3,1.0
18.653,0.074,27,7,630,137,0.764,20,1.0,0.529,20,1.0,0.845,14,1.0
35.973,0.155,6,7,1234,139,0.74,49,1.0,0.48,49,1.0,0.819,47,1.0
32.215,0.132,7,6,1239,164,0.752,37,1.0,0.504,37,1.0,0.832,34,1.0
48.551,0.177,21,6,1935,30,0.754,33,1.0,0.508,35,1.0,0.829,41,1.0
31.367,0.121,13,6,1205,52,0.772,10,1.0,0.545,11,1.0,0.851,4,1.0
30.68,0.141,14,7,1372,27,0.766,17,1.0,0.533,17,1.0,0.846,12,1.0
45.46,0.171,6,7,1604,48,0.742,47,1.0,0.484,47,1.0,0.813,49,1.0
21.738,0.092,26,4,1306,35,0.77,14,1.0,0.54,15,1.0,0.842,18,1.0
50.845,0.172,18,6,1895,200,0.756,32,1.0,0.512,32,1.0,0.844,15,1.0
19.63,0.092,12,9,786,40,0.76,25,1.0,0.521,26,1.0,0.846,13,1.0
15.711,0.074,6,7,594,242,0.748,43,1.0,0.496,43,1.0,0.816,48,1.0
25.844,0.111,15,9,796,88,0.76,25,1.0,0.521,27,1.0,0.841,20,1.0
33.803,0.137,23,4,1934,210,0.744,46,1.0,0.488,46,1.0,0.834,31,1.0
26.877,0.112,28,8,823,252,0.78,4,1.0,0.56,5,1.0,0.858,1,1.0
31.213,0.127,18,4,1784,211,0.76,25,1.0,0.524,25,1.0,0.84,24,1.0
46.767,0.162,17,7,1520,102,0.766,17,1.0,0.532,19,1.0,0.841,19,1.0
28.795,0.115,17,5,1343,200,0.762,23,1.0,0.524,24,1.0,0.828,42,1.0
24.385,0.103,20,4,1425,165,0.768,16,1.0,0.536,16,1.0,0.836,29,1.0
