mean_fit_time,mean_score_time,param_classifier__max_bin,param_classifier__max_depth,param_classifier__n_estimators,param_classifier__num_leaves,mean_test_accuracy,rank_test_accuracy,mean_train_accuracy,mean_test_matthews_corrcoef,rank_test_matthews_corrcoef,mean_train_matthews_corrcoef,mean_test_roc_auc,rank_test_roc_auc,mean_train_roc_auc
1024.541,0.24,16,9,1716,83,0.858,50,1.0,0.716,50,1.0,0.94,46,1.0
756.872,0.249,31,7,1883,25,0.868,43,1.0,0.736,44,1.0,0.94,45,1.0
704.061,0.199,23,9,1099,86,0.876,23,1.0,0.752,24,1.0,0.947,9,1.0
485.099,0.212,28,4,1920,74,0.874,29,1.0,0.748,30,1.0,0.945,25,1.0
319.813,0.178,5,4,1349,181,0.874,29,1.0,0.748,30,1.0,0.941,44,1.0
325.237,0.122,29,9,572,25,0.894,1,1.0,0.788,1,1.0,0.943,36,1.0
724.459,0.223,24,7,1476,213,0.872,34,1.0,0.744,36,1.0,0.949,3,1.0
355.972,0.164,19,4,1350,115,0.88,12,1.0,0.76,14,1.0,0.947,10,1.0
453.075,0.179,28,5,1255,45,0.882,6,1.0,0.764,9,1.0,0.945,24,1.0
691.623,0.213,23,7,1410,183,0.874,29,1.0,0.748,33,1.0,0.948,7,1.0
493.534,0.231,4,5,1789,201,0.86,49,1.0,0.72,49,1.0,0.94,48,1.0
273.424,0.152,4,6,744,167,0.882,6,1.0,0.764,7,1.0,0.944,31,1.0
550.487,0.224,7,7,1382,199,0.882,6,1.0,0.764,9,1.0,0.946,17,1.0
172.354,0.112,6,4,628,180,0.876,23,1.0,0.752,24,1.0,0.943,37,1.0
648.983,0.201,25,9,1256,33,0.876,23,1.0,0.752,24,1.0,0.946,16,1.0
817.05,0.231,19,8,1566,202,0.87,39,1.0,0.74,41,1.0,0.947,12,1.0
607.471,0.234,28,5,1845,247,0.878,18,1.0,0.756,20,1.0,0.947,8,1.0
361.334,0.137,13,5,791,118,0.882,6,1.0,0.764,7,1.0,0.943,38,1.0
542.016,0.171,27,7,930,98,0.882,6,1.0,0.764,9,1.0,0.946,19,1.0
257.298,0.135,31,4,898,115,0.87,39,1.0,0.74,41,1.0,0.948,6,1.0
688.239,0.204,25,8,1133,186,0.88,12,1.0,0.76,17,1.0,0.945,22,1.0
382.543,0.154,24,7,824,22,0.874,29,1.0,0.748,32,1.0,0.945,21,1.0
986.983,0.243,8,8,1655,220,0.88,12,1.0,0.76,12,1.0,0.945,28,1.0
979.284,0.234,8,8,1667,164,0.882,6,1.0,0.764,6,1.0,0.945,27,1.0
495.922,0.216,7,6,1291,223,0.866,47,1.0,0.732,47,1.0,0.944,30,1.0
639.796,0.199,17,9,1060,65,0.878,18,1.0,0.756,20,1.0,0.947,14,1.0
762.279,0.23,9,5,1972,111,0.876,23,1.0,0.752,24,1.0,0.947,12,1.0
579.664,0.222,9,4,1816,178,0.874,29,1.0,0.748,29,1.0,0.941,43,1.0
628.012,0.18,20,9,887,114,0.88,12,1.0,0.76,14,1.0,0.945,23,1.0
685.496,0.172,14,9,868,247,0.876,23,1.0,0.752,24,1.0,0.944,33,1.0
303.295,0.156,25,5,883,16,0.876,23,1.0,0.752,23,1.0,0.94,47,1.0
563.868,0.18,14,6,1055,202,0.868,43,1.0,0.736,43,1.0,0.943,39,1.0
415.279,0.151,27,7,630,137,0.884,5,1.0,0.768,5,1.0,0.942,42,1.0
454.078,0.217,6,7,1234,139,0.872,34,1.0,0.744,37,1.0,0.943,40,1.0
444.562,0.203,7,6,1239,164,0.868,43,1.0,0.736,44,1.0,0.943,35,1.0
690.362,0.227,21,6,1935,30,0.88,12,1.0,0.76,12,1.0,0.943,41,1.0
605.497,0.188,13,6,1205,52,0.88,12,1.0,0.76,16,1.0,0.946,18,1.0
677.874,0.206,14,7,1372,27,0.892,2,1.0,0.784,2,1.0,0.95,1,1.0
530.802,0.22,6,7,1604,48,0.872,34,1.0,0.744,35,1.0,0.939,49,1.0
336.596,0.163,26,4,1306,35,0.878,18,1.0,0.756,20,1.0,0.936,50,1.0
695.149,0.237,18,6,1895,200,0.868,43,1.0,0.736,46,1.0,0.946,15,1.0
514.751,0.154,12,9,786,40,0.87,39,1.0,0.74,39,1.0,0.944,32,1.0
258.295,0.139,6,7,594,242,0.872,34,1.0,0.745,34,1.0,0.945,29,1.0
608.303,0.162,15,9,796,88,0.87,39,1.0,0.74,40,1.0,0.947,11,1.0
458.863,0.207,23,4,1934,210,0.886,3,1.0,0.772,4,1.0,0.949,5,1.0
530.443,0.16,28,8,823,252,0.878,18,1.0,0.756,18,1.0,0.949,2,1.0
421.974,0.193,18,4,1784,211,0.864,48,1.0,0.728,48,1.0,0.944,34,1.0
643.086,0.212,17,7,1520,102,0.878,18,1.0,0.756,19,1.0,0.946,20,1.0
427.718,0.182,17,5,1343,200,0.886,3,1.0,0.772,3,1.0,0.949,4,1.0
349.554,0.16,20,4,1425,165,0.872,34,1.0,0.744,38,1.0,0.945,26,1.0
